true_stress	true_strain
91081384	0.03804831951856613
91090376	0.03814708441495895
91464888	0.03824583441019058
91254528	0.03834457322955132
91556032	0.03844330832362175
91638312	0.03854202851653099
91793560	0.03864074498414993
91875880	0.03873944282531738
91445960	0.03883813321590424
91674496	0.03893681988120079
91829800	0.03903549164533615
91985288	0.03913415968418121
91774784	0.03923281282186508
91856984	0.03933145478367805
92085664	0.03943008929491043
92241232	0.03952871263027191
92396672	0.03962733224034309
92405784	0.03972593322396278
92488088	0.03982453048229218
92643736	0.03992311656475067
92726072	0.04002169147133827
92808576	0.04012026265263557
92890936	0.04021881520748138
92900088	0.0403173640370369
93055704	0.04041590169072151
93284728	0.04051442816853523
93293920	0.04061294719576836
93449768	0.04071145504713058
93532232	0.04080995172262192
93614720	0.04090844094753265
93697352	0.04100692272186279
93926576	0.04110539332032204
